model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.75,0.775,0.025,0.0,0.075,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4360.55,4379.475,18.925,-81.77625,119.65999999999995,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,4360.55,4379.475,18.925,-78.21062499999998,123.58437499999995,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,context_use,passive-behavioral,frozen_probe:recompute,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,19451.25,20030.275,579.025,-364.43874999999986,1569.5087499999997,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
