model,benchmark,observation_class,method,operator,control_operator,estimand,metric,unit,favorable_direction,n_tasks,control_mean,operator_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,task_tokens,tokens,lower,40,3784.85,4315.3,530.45,441.161875,615.0324999999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,total_tokens,tokens,lower,40,3784.85,4315.3,530.45,441.099375,612.8143749999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,latency_ms,milliseconds,lower,40,19419.3,20202.0,782.7,-226.95312499999997,1754.796875,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.002020475,0.0022082,0.00018772500000000002,0.00012407062500000005,0.000245854375,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.002020475,0.0022082,0.00018772500000000002,0.00012582312500000002,0.000251326875,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,success,proportion,higher,40,0.725,0.775,0.05,0.0,0.125,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,task_tokens,tokens,lower,40,3784.85,4171.25,386.4,277.573125,497.056875,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,total_tokens,tokens,lower,40,3784.85,4171.25,386.4,273.56874999999997,500.52687499999996,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,latency_ms,milliseconds,lower,40,19419.3,20629.7,1210.4,-64.10124999999982,2613.7574999999993,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.002020475,0.0021536,0.000133125,4.5071875000000044e-05,0.00021885749999999994,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,public_state_reground,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
