analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
primary_online_natural_policy,passive,frozen_quiz,none,task_tokens,tokens,40,3851.15,3638.775,4066.8912499999997,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,observer_tokens,tokens,40,4945.525,4780.748125,5121.66875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,total_tokens,tokens,40,8796.675,8444.058125,9171.485,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,latency_ms,milliseconds,40,43316.975,41288.77125,45320.34374999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,actual_cost_usd,USD,40,0.004848475,0.0046621225,0.005038878125,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,firing_incidence,proportion,40,0.875,0.75,0.975,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,action_incidence,proportion,40,0.875,0.75,0.975,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,firing_rate,proportion_of_observed_checkpoints,40,0.375,0.3125,0.43343749999999936,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.14583333333333331,0.125,0.1625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,threshold_firings,count,40,2.25,1.875,2.600624999999997,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,selected_actions,count,40,0.875,0.75,0.975,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,task_tokens,tokens,40,3864.925,3611.9693749999997,4133.500625000001,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,observer_tokens,tokens,40,5025.175,4845.38875,5221.511875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,total_tokens,tokens,40,8890.1,8480.469375,9334.322499999998,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,latency_ms,milliseconds,40,44089.475,41973.613750000004,46431.723125000004,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,actual_cost_usd,USD,40,0.004919825,0.004720931875,0.0051223625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,firing_incidence,proportion,40,0.925,0.825,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,action_incidence,proportion,40,0.925,0.825,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,firing_rate,proportion_of_observed_checkpoints,40,0.45,0.375,0.525,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.15416666666666665,0.1375,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,threshold_firings,count,40,2.7,2.25,3.15,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,selected_actions,count,40,0.925,0.825,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,task_tokens,tokens,40,3892.0,3649.32375,4156.59625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,observer_tokens,tokens,40,5075.95,4908.995625,5258.525000000001,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,total_tokens,tokens,40,8967.95,8579.326874999999,9384.649374999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,latency_ms,milliseconds,40,43090.0,41350.573749999996,44875.478125,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,public_state_reground,actual_cost_usd,USD,40,0.0050294499999999995,0.00482584875,0.005228211875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,firing_incidence,proportion,40,0.8,0.675,0.925,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,action_incidence,proportion,40,0.8,0.675,0.925,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,firing_rate,proportion_of_observed_checkpoints,40,0.2583333333333333,0.19583333333333333,0.31666666666666665,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,action_rate,proportion_of_observed_checkpoints,40,0.13333333333333333,0.1125,0.15416666666666665,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,threshold_firings,count,40,1.55,1.175,1.9,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,selected_actions,count,40,0.8,0.675,0.925,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,task_tokens,tokens,40,3920.325,3680.96625,4150.974375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,observer_tokens,tokens,40,5052.075,4876.48875,5226.557500000001,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,total_tokens,tokens,40,8972.4,8571.146875,9361.864375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,latency_ms,milliseconds,40,45110.825,42479.2825,47879.77437499999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,actual_cost_usd,USD,40,0.004898675,0.004698125,0.00508983875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,firing_incidence,proportion,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,action_incidence,proportion,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,firing_rate,proportion_of_observed_checkpoints,40,0.05833333333333333,0.029166666666666664,0.09177083333333276,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,action_rate,proportion_of_observed_checkpoints,40,0.041666666666666664,0.020833333333333332,0.0625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,threshold_firings,count,40,0.35,0.175,0.5506249999999966,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,selected_actions,count,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,task_tokens,tokens,40,3851.325,3625.9474999999998,4085.31125,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,observer_tokens,tokens,40,4713.2,4531.740624999999,4910.760625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,total_tokens,tokens,40,8564.525,8164.086875,8992.6375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,latency_ms,milliseconds,40,42425.125,40275.1575,44543.695625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,none,actual_cost_usd,USD,40,0.0372025,0.035859786875,0.03863815437499999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,firing_incidence,proportion,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,action_incidence,proportion,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,firing_rate,proportion_of_observed_checkpoints,40,0.07916666666666666,0.03333333333333333,0.1375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,action_rate,proportion_of_observed_checkpoints,40,0.041666666666666664,0.020833333333333332,0.0625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,threshold_firings,count,40,0.475,0.2,0.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,selected_actions,count,40,0.25,0.125,0.375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,task_tokens,tokens,40,3873.125,3624.8268749999997,4140.195625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,observer_tokens,tokens,40,4723.575,4526.12125,4939.01625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,total_tokens,tokens,40,8596.7,8152.76375,9066.30625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,latency_ms,milliseconds,40,46056.675,43573.25875,48436.784375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,lossy_compaction,actual_cost_usd,USD,40,0.037725225,0.036085079375,0.03952345,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,firing_incidence,proportion,40,0.225,0.1,0.35,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,action_incidence,proportion,40,0.225,0.1,0.35,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,firing_rate,proportion_of_observed_checkpoints,40,0.04583333333333333,0.020833333333333332,0.07916666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.0375,0.016666666666666666,0.05833333333333333,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,threshold_firings,count,40,0.275,0.125,0.475,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,selected_actions,count,40,0.225,0.1,0.35,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,task_tokens,tokens,40,3843.375,3602.714375,4087.1575,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,observer_tokens,tokens,40,4784.925,4514.251249999999,5109.2543749999995,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,total_tokens,tokens,40,8628.3,8137.014375000001,9144.729374999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,latency_ms,milliseconds,40,43345.9,40412.09375,46725.78999999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,public_state_reground,actual_cost_usd,USD,40,0.038101475,0.035726248125000006,0.041219607500000005,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,firing_incidence,proportion,40,0.125,0.025,0.225,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,action_incidence,proportion,40,0.125,0.025,0.225,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,firing_rate,proportion_of_observed_checkpoints,40,0.05416666666666666,0.0125,0.10833333333333331,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,action_rate,proportion_of_observed_checkpoints,40,0.020833333333333332,0.004166666666666667,0.0375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,threshold_firings,count,40,0.325,0.075,0.65,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,selected_actions,count,40,0.125,0.025,0.225,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,task_tokens,tokens,40,3862.975,3638.284375,4091.7675,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,observer_tokens,tokens,40,4770.375,4581.91625,4974.234375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,total_tokens,tokens,40,8633.35,8226.61,9066.958750000002,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,latency_ms,milliseconds,40,43485.875,41470.314375,45556.329375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,actual_cost_usd,USD,40,0.037828225,0.03631781,0.039450966875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,none,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,trace_rules,none,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
